"COUNTRY","CYEAR","ON_TIME","GTEQ_24_MONTHS","12_TO_23_MONTHS","24_TO_36_MONTHS","TARGETNUMBER","DELAYED","TOT","COV_ON_TIME","COV_TOT","COV_DELAYED","DIF_COV"
"GHA",2022,1160243,0,0,0,1226896,0,1160243,94.567347191612,94.567347191612,0,0
"GMB",2018,74547,0,0,0,82127,0,74547,90.7703921974503,90.7703921974503,0,0
"GMB",2019,69957,0,0,0,82127,0,69957,85.1814872088351,85.1814872088351,0,0
"GMB",2021,66692,0,0,0,83947,0,66692,79.4453643370222,79.4453643370222,0,0
"GMB",2022,63985,0,0,0,86988,0,63985,73.5561226835885,73.5561226835885,0,0
"GRD",2017,1337,3,0,0,1587,3,1340,84.2470069313169,84.4360428481411,0.189035916824197,0.189035916824196
"GRD",2018,1338,24,0,24,1425,24,1362,93.8947368421053,95.5789473684211,1.68421052631579,1.68421052631579
"GRD",2019,1263,0,0,0,1525,0,1263,82.8196721311475,82.8196721311475,0,0
"GRD",2020,1119,0,15,20,1606,35,1154,69.6762141967621,71.8555417185554,2.17932752179328,2.17932752179327
"GRD",2021,1120,0,1120,0,1482,1120,2240,75.5735492577598,151.14709851552,75.5735492577598,75.5735492577598
"GTM",2017,340314,22663,0,0,381396,22663,362977,89.2285183903345,95.1706362940356,5.94211790370114,5.94211790370113
"GTM",2018,343180,5568,0,5568,382841,5568,348748,89.6403467758155,91.0947364571715,1.45438968135597,1.45438968135596
"GTM",2019,323963,7944,331829,2894,366448,342667,666630,88.4062677378509,181.9166703052,93.5104025673493,93.5104025673493
"GTM",2020,295192,10374,0,6596,366448,16970,312162,80.5549491333013,85.1858926778151,4.63094354451382,4.63094354451383
"GTM",2021,287329,0,0,0,344746,0,287329,83.3451294576297,83.3451294576297,0,0
"GUY",2017,15354,0,0,0,15654,0,15354,98.0835569183595,98.0835569183595,0,0
"GUY",2018,15048,0,0,0,15313,0,15048,98.2694442630445,98.2694442630445,0,0
"GUY",2019,16239,204,0,39,15340,243,16482,105.860495436767,107.444589308996,1.58409387222947,1.58409387222947
"GUY",2020,14492,1027,0,0,15283,1027,15519,94.8243145979193,101.544199437283,6.719884839364,6.719884839364
"GUY",2021,14949,0,0,0,14524,0,14949,102.92619113192,102.92619113192,0,0
"HND",2017,176632,3386,0,0,194037,3386,180018,91.030061276973,92.7750892870947,1.74502801012178,1.74502801012177
"HND",2018,173085,0,0,3212,195399,3212,176297,88.5802895613591,90.2241055481348,1.64381598677578,1.64381598677578
"HND",2019,161411,4325,3212,0,196447,7537,168948,82.1651641409642,86.0018223744827,3.83665823351846,3.83665823351845
"HND",2020,159035,4977,0,4977,197194,4977,164012,80.6490055478361,83.1729160116434,2.52391046380722,2.52391046380723
"HND",2021,152385,0,0,0,198306,0,152385,76.8433632870412,76.8433632870412,0,0
"HRV",2017,36970,0,0,0,39651,0,36970,93.2385059645406,93.2385059645406,0,0
"HRV",2018,35491,0,0,0,38156,0,35491,93.0155152531712,93.0155152531712,0,0
"HRV",2019,32174,0,0,0,35293,0,32174,91.1625534808602,91.1625534808602,0,0
"HRV",2020,32067,0,0,0,35921,0,32067,89.2709000306228,89.2709000306228,0,0
"HRV",2021,32089,0,0,0,35660,0,32089,89.9859786876052,89.9859786876052,0,0
"HTI",2018,224892,0,0,0,305829,0,224892,73.5352108531238,73.5352108531238,0,0
