"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"PER",2017,"MCV1","NOT_COLLECTED","461672"
"MDA",2018,"DTPCV3","NOT_COLLECTED","35962"
"USA",2018,"MCV1","GTEQ_24_MONTHS",NA
"BEN",2017,"MCV1","NOT_COLLECTED","360162"
"TCD",2018,"MCV1","NOT_COLLECTED","504511"
"HRV",2019,"MCV1","NOT_COLLECTED","35491"
"LSO",2018,"MCV1","NOT_COLLECTED","23089"
"BWA",2019,"DTPCV3","NOT_COLLECTED","50000"
"HND",2019,"DTPCV3","NOT_COLLECTED","172917"
"COK",2018,"DTPCV3","NOT_COLLECTED","228"
"IRQ",2017,"MCV1","NOT_COLLECTED","902284"
"CUB",2018,"MCV1","GTEQ_24_MONTHS","210"
"MNE",2018,"MCV1","NOT_COLLECTED","3186"
"CUB",2018,"MCV1","NOT_COLLECTED","120396"
"KAZ",2017,"MCV1","NOT_COLLECTED","348969"
"MYS",2019,"MCV1","NOT_COLLECTED","490255"
"MYS",2017,"DTPCV3","NOT_COLLECTED","502585"
"HND",2017,"MCV1","NOT_COLLECTED","188545"
"SLB",2019,"MCV1","NOT_COLLECTED","13507"
"AFG",2019,"DTPCV3","NOT_COLLECTED","1502684"
"SLE",2018,"DTPCV3","NOT_COLLECTED","239524"
"DZA",2017,"MCV1","NOT_COLLECTED","924669"
"COL",2018,"DTPCV3","NOT_COLLECTED","659862"
"TGO",2019,"DTPCV3","NOT_COLLECTED","286939"
"BGD",2017,"MCV1","NOT_COLLECTED","3708164"
"KHM",2018,"MCV1","NOT_COLLECTED","373867"
"PRY",2018,"DTPCV3","GTEQ_24_MONTHS","1606"
"WSM",2017,"MCV1","NOT_COLLECTED","3811"
"MUS",2019,"DTPCV3","NOT_COLLECTED","11013"
"TZA",2018,"MCV1","NOT_COLLECTED","2019348"
"VEN",2018,"MCV1","GTEQ_24_MONTHS","233943"
"CHL",2018,"DTPCV3","NOT_COLLECTED","207832"
"GEO",2017,"DTPCV3","NOT_COLLECTED","47320"
"DNK",2018,"DTPCV3","NOT_COLLECTED","60103"
